codigo sap,nombre del equipo,numero de rodamiento lado acople,numero de acople aldo ventilador,diametro ventilador,equipo,potencia,rpm,area
114606,ME ventilación externa motor DC molino #3 TB,6311 -c2,6211-z-c3,9,MOTOR ELECTRICO,20 HP,870,EXTRACCION
114530,Alimentador de bagazo 2 caldera 3,6207,6206,"8""3/4",MOTOR ELECTRICO,10,1755,CALDERAS
143183,Conductor vibratorio azucar humedad Tacho continuo 1A,6309-2Z,6209-2Z,6 pulgadas,MOTOR ELECTRICO,20HP,1175,RA
143183,Conductor vibratorio  de azucar humedad tacho continuo1A,6309-2Z,6209-2Z,6 pulgadas,MOTOR ELECTRICO,20HP,1175,RA
140603,Sinfin de azúcar humedad 2A,6313-2Z/J-C3,6213-2Z/J-C3,8 pulgadas,MOTOR ELECTRICO,60HP,1785,RA
140603,Sinfin de azúcar humedad 2A,6313-2Z/J-C3,6213-2Z/J-C3,8 pulgadas,MOTOR ELECTRICO,60HP,1785,RA
140592,Elevador de azúcar seca 2A,6309,6208,"7""",MOTOR ELECTRICO,15HP,1775,RA
140592,Elevador de azúcar seca 2A,6309,6208,"7""",MOTOR ELECTRICO,15HP,1775,RA
140566,Motor movimiento bomba  de  Rotoclon  # 2 ref  auxiliar ,6311 zz,6211 zz,"6 "" plastico",MOTOR ELECTRICO,25 Hp,3545,RA
140563,Motor bomba  de  Rotoclon # 3  a Enfriadora  Refineria ,6309 zz,6209 zz,"5 ""/ 12  plastico ",MOTOR ELECTRICO,20 Hp,3520,RA
140552,Inducido de la secadora del 1 A,6310,6210,"""7""",MOTOR ELECTRICO,25,1775,RA
140492,Motor 1 de recirculación miel a tachos tanque elevado miel A,6309-2z,6208-2z,7 pulgadas,MOTOR ELECTRICO,20HP,1760,RA
140491,Motor 2 de recirculación miel a tachos tanque elevado miel A,6311-2z,6309-2z,7 pulgadas,MOTOR ELECTRICO,30HP,1780,RA
140468,Bba de inyección T/C 1C #2,6319,6319,"15""",MOTOR ELECTRICO,132kw,1785,RA
140468,Bomba de Inyección T/C 1C #2,6319,6319,"15""",MOTOR ELECTRICO,132kw,1785,RA
140464,Bbas Inyección T/C 1C #1,6319,6319,"15""",MOTOR ELECTRICO,132kw,1785,RA
140464,Bombas de Inyección T/C 1C #1,6319,6319,"15""",MOTOR ELECTRICO,132kw,1785,RA
140446,Bba vacío tacho 12,6313,6212,13”,MOTOR ELECTRICO,40. Hp,1190,RA
140396,Bomba torre enfriamiento 2,6314,6314,"9""",MOTOR ELECTRICO,60HP,1775,RA
140349,Recibidor magmero de alta pureza tacho 15 y 16,6206,6205,6”,MOTOR ELECTRICO,5 HP,1740,RA
140342,Bba. 2 de masa 1ra tacho 15 y 16 ,6311,6311,10”,MOTOR ELECTRICO,40 HP,1780,RA
140342,Bba. 2 de masa 1ra tacho 15 y 16 ,6311,6311,10”,MOTOR ELECTRICO,40HP,1780,RA
140329,Bba masa 3ra tachos batch,6312,6312,10”,MOTOR ELECTRICO,40,1780,RA
140316,Mezclador 2 masa 2da alta pureza ,6309,6208,"8""",MOTOR ELECTRICO,10 hp,1180,RA
140313,Mezclador cent de 1era fabrica,6307,6206,"6""",MOTOR ELECTRICO,5HP,1765,RA
140313,Mezclador cent. De 1ra Fábrica ,6307,6206,"6""",MOTOR ELECTRICO,5HP,1765,RA
140247,Disuelto #2 de 3ra,6314z,6314z,"11""",MOTOR ELECTRICO,60,1775,RA
140246,Disuelto #1 de 3ra ,6313 ,6313 ,16”,MOTOR ELECTRICO,60,1785,RA
140236,Bomba 2 Magma de tercera ,6311 2Z C3,6211 2Z C3,"12""",MOTOR ELECTRICO,30 HP,1765,RA
140222,bba 3 de segunda alta pureza,6312,6312," 7""",MOTOR ELECTRICO,40 hp,1780,RA
140221,Alta pureza # 2 ,6312,6312,7”,MOTOR ELECTRICO,40 hp,1780,RA
140218,Bomba  2 magma  segunda,6312,6312,"7""",MOTOR ELECTRICO,40 hp,1780,RA
140215,Sinfín #1 de 2da baja pureza ,6313,6213,10”,MOTOR ELECTRICO,60 HP,1785,RA
140029,Lubricación coronas TB,6205,6203,"6""",MOTOR ELECTRICO,1,1770,EXTRACCION
139636,Condensado E2,6310,6210,21.03 cm,MOTOR ELECTRICO,20,1170,TRATAMIENTO
139636,Condensado E2,6310,6210,21.3 CM,MOTOR ELECTRICO,20,1170,TRATAMIENTO
