codigo sap,numero TR,NOMBRE DE EQUIPO,POTENCIA ,MARCA,¿Hay fuga en los busshing de Alta Tension?,¿Hay fuga en los busshing de Baja Tension?,¿El transformador tiene puesta a tierra la carcaza?,Aislamiento(EPR/XLPE/DLO) del Lado Primario (alta Tension),Cables por Fase (Primario),Cables por Fase (Secundario),PCB´S,ENFRIAMIENTO,EQUIPO QUE LE DIO MANTENIMIENTO
138679,2761,TRANSFORMADOR ANTIGUO CALDERA 1,2,WESTINGHOUSE,NO,NO,No,-,-,-,NM,AA,TRANSFORMADOR
138678,-,TRANSFORMADOR REPUESTO CALDERA  7,3.5,VIRGINIA TRANSFORMER,NO,NO,No,-,-,-,NM,ONAN/ONAF,TRANSFORMADOR
138668,5606,TRANSFORMADOR MOLINO 2 TB,2.5,WEG,NO,NO,SI,350KCM EPR,1,-,ND,ONAN,TRANSFORMADOR
138667,5605,TRANSFORMADOR MOLINO 2 TA,45779,WEG,NO,NO,SI,350KCM EPR,1,1,ND,ONAN,TRANSFORMADOR
138666,7B04,TRANSFORMADOR ESP CALDERA 7 CAMPO 4,81.42,ADOR-CORONA,NO,NO,SI,-,-,-,ND,ONAN,TRANSFORMADOR
138665,7B03,TRANSFORMADOR ESP CALDERA 7 CAMPO3,81.42,ADOR-CORONA,NO,NO,SI,-,-,-,ND,ONAN,TRANSFORMADOR
138664,7B02,TRANSFORMADOR ESP CALDERA 7 CAMPO 2,81.42,ADOR-CORONA,NO,NO,SI,-,-,-,ND,ONAN,TRANSFORMADOR
138663,7B01,TRANSFORMADOR ESP CALDERA 7 CAMPO 1,81.42,ADOR-CORONA,NO,NO,SI,-,-,-,ND,ONAN,TRANSFORMADOR
138660,5768,TRANSFORMADOR TACHO CONTINUO 1C,1.8,Weg,NO,NO,SI,250KCM EPR,1,-,ND,ONAN,TRANSFORMADOR
138659,5767,TRANSFORMADOR EVAPORADORES 1 Y CENTRIFIGAS 2DA,2,WEG,NO,NO,SI,350KCM -,1,-,ND,ONAN,TRANSFORMADOR
138658,5766,TRANSFORMADOR AUXILIARES TB,2.5,WEG,NO,NO,SI,350KCM EPR,1,-,ND,ONAN/ONAF,TRANSFORMADOR
138657,5765,TRANSFOMADOR TACHO CONTINUO 2A,1.5,VTC WEST S.A. DE CV,NO,NO,No,250KCM,1,-,ND,ONAN/ONAF,TRANSFORMADOR
138656,5764,TRANSFORMADOR FILTROS DE CACHAZA,1.25,Weg,NO,NO,SI,2/0 AWG--,1,-,ND,ONAN,TRANSFORMADOR
138655,5755,TRANSFORMADOR MAQUINAS DE SOLDAR MOLINOS,0.3,General Electric,NO,NO,SI,2 AWG,1,-,ND,OA,TRANSFORMADOR
138654,5754,TRANSFORMADOR TRATAMIENTO DE JUGO 2,2,Virginia Transformer Corp,NO,NO,SI,350KCM-,1,-,ND,ONAN/ONAF,TRANSFORMADOR
138572,5728,TRANSFORMADOR MOLINO 4 TB,1.8,WEG,NO,NO,SI,250KCM  XLPE,1,4,ND,ONAN,TRANSFORMADOR
138571,5727,TRANSFORMADOR MAQUINAS DE SOLDAR FABRICA,0.3,General Electric,NO,NO,SI,2 AWG,1,-,ND,OA,TRANSFORMADOR
138570,5719,TRANSFORMADOR TRATAMIENTO DE JUGO 1,2.2,Virginia Transformer Corp,NO,NO,SI,4/0 AWG-,1,-,ND, ONAN/ONAF,TRANSFORMADOR
138569,5604,TRANSFORMADOR MOLINO #6 TA,2.5,WEG,NO,NO,No,350KCM EPR,1,1,ND,ONAN,TRANSFORMADOR
138568,5603,TRANSFORMADOR MOLINO 6 TB,45779,WEG,NO,NO,SI,350KCM EPR,1,1,ND,ONAN,TRANSFORMADOR
138567,5602,TRANSFORMADOR MOLINO 1 TB,2.5,WEG,NO,NO,SI,350KCM  EPR,1,1,ND,ONAN,TRANSFORMADOR
